OBJECTID,Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Appropriate_Location,Suggested_for_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices___Notes,PhotoCredit01,Nurseries,PhotoCredit02,PhotoCredit03,PhotoCredit04
14,Amelanchier alnifolia,Western Service Berry,Rosaceae,,Shrub (deciduous),Summer,White,4-6 ft,SF Native ,Coastal scrub,Part shade;Sun,Clay;Loam;Rock,,Moderate,Fruit;Nectar,Bees;Birds;Butterflies;Insects,Yes,Backyard,17,NA,,©2008 George W. Hartwell,,©2014 John Doyen,©2010 Vernon Smith (CC BY-NC-ND 3.0),©2007 Matt Below
15,Amsinckia spp,Fiddleneck,Boraginaceae,,Perennial,Spring,Yellow,1-3 ft,CA Native,Coastal scrub;Dunes,Sun,All,,NA,Buds/greens;Nectar,Bees;Birds;Butterflies;Insects,No,Backyard,NA,NA,Easy to grow from seed. Attracts Painted Lady (Vanessa cardui) butterfly.,©2008 Jorg & Mimi Fleige (CC BY-NC 3.0),Oaktown;Bay Natives;East Bay Wilds;,©2010 Steven Thorsted (CC BY-NC 3.0),©2012 Keir Morse (CC BY-NC-SA 3.0),©2010 Steven Thorsted (CC BY-NC 3.0)
16,Anaphalis margaritacea,Pearly Everlasting,Asteraceae,,Perennial,Summer,White;Yellow,1-3 ft,SF Native ,Coastal scrub;Dunes;Woodland,Sun,All,,NA,Buds/greens;Nectar,Bees;Birds;Butterflies;Insects,No,Backyard;Roof,NA,NA,"Recommended root runner plant (also gumplant, goldenrod, dudleya). Attracts American Lady (Vanessa virginensis) and Painted Lady (Vanessa cardui) butterflies.","© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;,©2008 Margo Bors,©2008 Keir Morse (CC BY-NC-SA 3.0),©2011 Jean Pawek
17,Angelica hendersonii,Coast Angelica,Apiaceae,,Perennial,Summer,White,1-3 ft,SF Native,Coastal scrub,Part shade;Sun,Clay;Loam;Sand,,NA,Buds/greens;Nectar,Bees;Birds;Butterflies;Insects,No,Backyard,NA,NA,"Recommended. Big robust leaves, but not weedy. Attracts Anise swallowtail (Papilio zelicaon) butterfly.",©2012 Aaron Arthur,,©2012 Aaron Arthur,©2012 Aaron Arthur,©2009 Jorg & Mimi Fleige (CC BY-NC 3.0)
18,Aquilegia formosa,Western Columbine,Ranunculaceae,,Perennial,Spring,Red;Yellow,< 1 ft,SF Native ,Coastal scrub;Woodland;Riparian,Part shade;Sun,Clay;Loam;Rock,,Low,Buds/greens;Nectar,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,Backyard;Roof,NA,NA,Attracts Anna's Hummingbird.,Charles Webber © California Academy of Sciences,,brewbooks (CC BY-SA 2.0),©2002 Charles E. Jones,Charles Webber © California Academy of Sciences
19,Arbutus menziesii,Madrone,Ericaceae,,Tree (evergreen),Spring,White,> 24 ft,SF Native ,Woodland,Shade;Sun,Clay;Loam;Rock,Structural pruning,Low,Cover;Fruit;Nectar;Nesting,Bees;Birds;Butterflies;Hummingbirds,No,Backyard,NA,NA,Peeling red bark.,"© Br. Alfred Brousseau, Saint Mary's College.",,"© Br. Alfred Brousseau, Saint Mary's College.",©2013 Lynn Watson,©2013 Jean Pawek
20,Arbutus x 'Marina',Marina Strawberry Tree,Ericaceae,,Tree (evergreen),Fall;Winter,Pink,13-24 ft,Exotic?,,Sun,,,Low,,Birds; Butterflies,No,Sidewalk,NA,1 (A),Fruit drop can range from low volume to significant.,Wendy Cutler (CC BY 2.0),,Wendy Cutler (CC BY 2.0),Anna Fuster (CC BY-NC-ND 2.0),Martin LaBar (CC BY-NC 2.0)
21,Arctostaphylos spp,Manzanita,Ericaceae,,Shrub (evergreen),Spring,Pink;White,13-24 ft,CA Native,Coastal scrub;Dunes;Chaparral,Part shade;Sun,All,,Low,Cover;Fruit;Nectar;Nesting,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,Backyard;Roof;Sidewalk,NA,NA,Not very tolerant of disturbances and similar fungus problems to madrone. Groundcover manzanitas tend to do better.,©2004 Aaron Schusteff,Oaktown;Native Here;Flora Grubb;Bay Natives;East Bay Wilds;,"©2004 Robert E. Preston, Ph.D.",©2004 David Graber (CC BY-NC-ND 3.0),"©2004 Robert E. Preston, Ph.D."
22,Aristolochia californica,Pipe Vine,Aristolochiaceae,,Vine,Spring;Winter,Burgundy,> 24 ft,SF Native ,Coastal scrub;Woodland,Part shade;Sun,Clay;Loam,,Low,Buds/greens;Cover;Nectar,Butterflies;Insects,Yes,Backyard,NA,NA,Slow grower. Attracts Pipe Vine Swallowtail (Battus philenor).,©2011 Steven Perry,Oaktown;Native Here;Mission Blue;Bay Natives;East Bay Wilds;,©2013 Joshua McDill,"© Br. Alfred Brousseau, Saint Mary's College",©2012 Julie Kierstead Nelson
23,Armeria maritima var. californica,Sea Thrift,Plumbaginaceae,,Perennial,Summer,Pink,1-3 ft,SF Native ,Coastal scrub;Dunes,Sun,Loam;Rock;Sand,,Moderate,Nectar,Butterflies,Yes,Backyard;Roof;Sidewalk,15,NA,"Not recommended for east side planting (strictly sand dune plant), may need additional moisture in a garden environment. Attracts Green Hairstreak (Callophrys viridis).",©2009 Ron Wolf,Oaktown;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2006 Matt Below,©2009 Ron Wolf,©2009 Ron Wolf
24,Artemisia californica,California Sagebrush,Asteraceae,,Shrub (evergreen),Summer,Yellow,4-6 ft,SF Native ,Coastal scrub,Part shade;Sun,All,,Low,Cover;Nesting,Bees;Birds;Butterflies,Yes,Backyard;Roof;Sidewalk,20,NA,Resilient and good visual. Attracts Nutall's White-Crowned Sparrow (Zonotrichia leucophrys nuttalli).,©2004 BonTerra Consulting,Oaktown;Native Here;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds;,"© Br. Alfred Brousseau, Saint Mary's College",©2003 Michael Charters,©2008 Jorg Fleige
25,Artemisia pycnocephala,Dune Sagewort,Asteraceae,,Shrub (evergreen),Summer,Yellow,4-6 ft,SF Native ,Dunes,Part shade;Sun,All,,Moderate,Cover;Nesting,Bees,No,Backyard;Roof;Sidewalk,NA,NA,"Excellent visually, but limited to coastal sand dunes.",©2006 Matt Below,Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2005 Will Chatfield-Taylor,©2011 Dylan Neubauer,©2013 Neal Kramer
26,Asarum caudatum,Wild Ginger,Aristolochiaceae,,Perennial,Spring,Burgundy,< 1 ft,CA Native,Woodland,Part shade;Shade,Clay;Loam,,Moderate,Cover,No data,Yes,Backyard;Sidewalk,NA,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,Beatrice F. Howitt © California Academy of Sciences,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
27,Asclepias fascicularis,Narrowleaf Milkweed,Apocynaceae,,Perennial,Summer,Pink;White,1-3 ft,CA Native,Chaparral;Riparian;Woodland,Part shade;Sun,All,,Low,Buds/greens;Nectar,Bees;Birds;Butterflies;Insects,Yes,Backyard;Sidewalk,1,NA,"Spreads easily, and may need confinement. Keep away from children/pets. Speciosa may be preferable. Attracts Monarch butterfly (Danaus plexippus).",©2002 George Jackson,,©2003 Michael Charters,J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,©2003 Michael Charters
28,Baccharis pilularis,Coyotebrush,Asteraceae,,Shrub (evergreen),Fall,White,7-12 ft,SF Native,Coastal scrub,Part shade;Sun,All,,Low,Cover;Buds/greens;Nectar;Nesting,Bees;Birds;Butterflies;Insects,Yes,Backyard;Roof;Sidewalk,12;17;21;22;23;5;8,NA,"Amazing for wildlife. Attracts Western fence lizard, Nutall's White-crowned Sparrow, Gray Hairstreak (Strymon melinus), and Common Buckeye (Junonia coeni).",©2002 Lynn Watson,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2004 David A. Tharp,©1977 Lee Dittmann,©1996 Margo Bors
29,Berberis pinnata,Coast Barberry,Berberidaceae,,Shrub (evergreen),Spring,Yellow,4-6 ft,SF Native,Woodland;Coastal scrub,Part Shade,Clay,,Low,Buds/greens;Nectar,Bees;Birds,Yes,Backyard,NA,NA,Attracts Cedar Waxwing (Bombycilla cedrorum) bird.,©2013 Margo Bors,,©2013 Terry Gosliner (CC BY-NC 3.0),Stan Shebs (CC BY-SA 3.0),©2008 Jorg Fleige (CC BY-NC 3.0)
30,Bolboschoenus robustus,Alkali Bulrush / Sturdy Bulrush,Cyperaceae,Scirpus robustus,Perennial,Summer,Brown,4-6 ft,SF Native ,Riparian;Wetland,Part shade;Sun,Clay;Loam;Sand,,Moderate,Fruit;Nesting,Birds,No,Backyard,NA,NA,,©2013 Jake Ruygt,,©2013 Jake Ruygt,©2011 Sangeet Khalsa,©2011 Sangeet Khalsa
31,Brahea edulis,Guadalupe Palm,Arecaceae,,Tree (evergreen),,,> 24 ft,Exotic,,Sun,,,Low,,,No,Sidewalk,NA,2 (B),Very slow growing in San Francisco.,"SelecTree. ""Brahea edulis Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Brahea edulis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Brahea edulis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Brahea edulis Photo Record."" 1995-2012. Jul 3, 2014."
32,Bromus carinatus ,California Brome,Poaceae,,Grass,Winter,Yellow,4-6 ft,SF Native,Chaparral;Coastal scrub;Dunes;Grassland/prairie;Woodland,Sun,All,,Moderate,Cover;Fruit;Nesting,Birds;Butterflies,Yes,Backyard,17,NA,Attracts Umber Skipper butterfly.,©2011 Ryan Batten,,©2011 Ryan Batten,©2012 Jean Pawek,©2012 Jean Pawek
33,Bromus laevipes,Woodland Brome,Poaceae,,Grass,Summer,Green,4-6 ft,CA Native,Chaparral;Grassland/prairie;Woodland,Shade,All,,NA,Nectar,Birds,No,Backyard,NA,NA,Needs to be planted with other grasses.,©2012 Jake Ruygt,,©2013 Margo Bors,©2005 Steve Matson,©2011 Alice Cummings
34,Calamagrostis nutkaensis,Pacific Reedgrass,Poaceae,,Grass,Spring,Pink;White,4-6 ft,SF native,Wetland;Woodland,Part shade;Sun,Clay,,Low,Buds/greens,Insects,Yes,Backyard;Sidewalk,NA,NA,"Needs fog and moisture, and tolerates wind well.",©2008 Neal Kramer,,©2006 Tom Annese,©2012 Asa Spade,©2012 Aaron E. Sims
35,Callistemon citrinus,Lemon Bottlebrush,Myrtaceae,,Tree (evergreen),Spring;Summer,Red,13-24 ft,Exotic,,Sun,,,Low,,Birds;Hummingbirds;Butterflies;Bees,No,Sidewalk,NA,2 (B),"Grows low, and wide canopy and needs a wide sidewalk, sticky flowers.","SelecTree. ""Callistemon citrinus Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Callistemon citrinus Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Callistemon citrinus Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Callistemon citrinus Photo Record."" 1995-2012. Jul 3, 2014."
36,Callistemon viminalis,Weeping Bottlebrush,Myrtaceae,,Tree (evergreen),Spring;Summer,red,> 24 ft,Exotic,,Part shade;Sun,,,Low,,Birds;Insects;Hummingbirds;Bees,No,Sidewalk,NA,1 (A),Has sticky flowers.,"SelecTree. ""Callistemon viminalis Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Callistemon viminalis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Callistemon viminalis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Callistemon viminalis Photo Record."" 1995-2012. Jul 3, 2014."
37,Calycanthus occidentalis,Spice Bush,Calycanthaceae,,Shrub (evergreen),Summer,Burgundy,7-12 ft,CA Native,Wetland;Woodland,Shade;Sun,Clay;Loam;Sand,,Low,Buds/greens,Birds;Insects,Yes,Backyard,NA,NA,,Gerald and Buff Corsi © California Academy of Sciences,,Gladys Lucille Smith © California Academy of Sciences,©2009 Barry Breckling (CC BY-NC-SA 3.0),©2013 Neal Kramer
38,Calystegia soldanella,Beach Morning Glory,Convolvulaceae,,Perennial,Spring,Pink,1-3 ft,SF Native,Dunes,Sun,Sand,,Low,Buds/greens,Insects,No,Backyard,NA,NA,"Needs dunes and shifting sand, most likely by ocean beach.",©1997 Christopher L. Christie,,©1998 Nick Kurzenko,©2007 Bradford Norman,©2005 George W. Hartwell
39,Carex pansa,Pacific Dune Sedge,Cyperaceae,,Perennial,Spring,Brown,< 1 ft,CA Native,Dunes,Sun,Sand,,Moderate,No data,No data,Yes,Backyard;Roof,9,NA,"Practical plant that is a dry grower and needs sand dunes. Can form a tight, tough mat.",©David Amme,,©2003 Steve Matson,©2014 DryStoneGarden,©Hedgerow Farms
40,Carex praegracilis,Clustered Field Sedge,Cyperaceae,,Perennial,Summer,Green,1-3 ft,SF Native ,Wetland,Sun,All,Cut to ground,Moderate,Nesting,Birds;Butterflies,Yes,Backyard;Roof,NA,NA,"Suitable lawn alternative, and can tolerate standing water.",©2004 James M. Andre,,©2008 Steve Matson,©2008 Steve Matson,©2008 Steve Matson
41,Castilleja ambigua,Salt Marsh Owl’s-clover,Orobanchaceae,Orthocarpus castillejoides,Annual,Summer,White;Yellow,< 1 ft,SF Native ,Riparian;Wetland,Sun,Clay;Loam;Sand,,Moderate,Buds/greens;Nectar,Butterflies;Insects,No,Backyard,NA,NA,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly.",©2005 Doreen L. Smith,,©2009 Jorg Fleige (CC BY-NC 3.0),©2005 Doreen L. Smith,"© Br. Alfred Brousseau, Saint Mary's College"
42,Castilleja latifolia,Monterey Indian Paintbrush,Orobanchaceae,,Perennial,Spring;Summer,Orange;Red,< 1 ft,SF Native,Coastal scrub;Grassland/prairie,Sun,Clay;Loam;Sand,,Low,Buds/greens;Nectar,Butterflies;Insects,No,Backyard;Roof,NA,NA,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly.",©2010 Steven Thorsted (CC BY-NC 3.0),,Gerald and Buff Corsi © California Academy of Sciences,"©Joseph Dougherty, M.D./ecology.org",©2010 Steven Thorsted (CC BY-NC 3.0)
43,Castilleja subinclusa ssp. franciscana,Franciscan Paintbrush,Orobanchaceae,,Perennial,Summer,Orange;Red,1-3 ft,SF Native,Coastal scrub;Grassland/prairie;Woodland,Sun,Clay;Rock,,Low,Buds/greens;Nectar,Butterflies;Insects,No,Backyard,NA,NA,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly.",©2013 Robert Sikora,,©2004 Sharon Salisbury,©2013 Robert Sikora,©2007 Neal Kramer
44,Castilleja wightii,Wight's Paintbrush,Orobanchaceae,,Perennial,Summer,Red;White;Yellow,1-3 ft,SF Native,Coastal scrub;Grassland/prairie;Woodland,Sun,Clay;Loam;Sand,,Low,Buds/greens;Nectar,Butterflies;Insects,No,Backyard,NA,NA,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly.",©2008 Neal Kramer,,©2008 Neal Kramer,©2008 Eric Wrubel,©2012 Aaron Schusteff
45,Ceanothus 'Ray Hartman',Ray Hartman Ceanothus,Rhamnaceae,,Tree (evergreen),Spring,Blue,13-24 ft,CA Native,,Sun,Sand;Loam,,None,,Birds;Hummingbirds;Butterflies,No,Sidewalk,11;17;20,1 (A),,"SelecTree. ""Ceanothus 'Ray Hartman' Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Ceanothus 'Ray Hartman' Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Ceanothus 'Ray Hartman' Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Ceanothus 'Ray Hartman' Photo Record."" 1995-2012. Jul 3, 2014."
46,Ceanothus thyrsiflorus ,Blueblossom,Rhamnaceae,,Shrub (evergreen),Spring,Blue,1-3 ft,SF Native,Chaparral;Coastal scrub;Woodland,Sun,All,Minimal,None,Cover;Buds/greens;Nectar,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,Backyard;Roof;Sidewalk,NA,NA,"Fragrant flowers. Attracts Cedar Waxwing bird and Echo Blue (Celestrina ladon echo), California Tortoiseshell (Nymphalis californica) butterflies.",Elaine with Grey Cats (CC BY-SA 2.0),Oaktown;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds;,M. Martin Vicente (CC BY 2.0),Leonora Enking (CC BY-SA 2.0),pépiniériste 85 (CC BY-NC-SA 2.0)
47,Celtis sinensis,Chinese Hackberry,Ulmaceae,,Tree (deciduous),Spring,,> 24 ft,Exotic,,Sun,,,Low,,Birds;Butterflies,No,Sidewalk,NA,2 (B),"Prefers heat, wind protection, uneven performer.","SelecTree. ""Celtis sinensis Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Celtis sinensis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Celtis sinensis Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Celtis sinensis Photo Record."" 1995-2012. Jul 3, 2014."
48,Ceratonia siliqua,Carob Tree,Fabaceae,,Tree (evergreen),Spring,,> 24 ft,Exotic,,Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Needs a very large basin, good drainage.","SelecTree. ""Ceratonia siliqua Photo Record."" 1995-2012. Jul 3, 2014.",,"SelecTree. ""Ceratonia siliqua Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Ceratonia siliqua Photo Record."" 1995-2012. Jul 3, 2014.","SelecTree. ""Ceratonia siliqua Photo Record."" 1995-2012. Jul 3, 2014."
49,Cercis occidentalis,Redbud,Fabaceae,,Tree (deciduous),Spring,Pink,13-24 ft,CA Native,Chaparral;Woodland,Part shade;Sun,All,,None,Nectar,Bees;Birds;Hummingbirds,Yes,Backyard,NA,NA,,©1994 Gary A. Monroe (CC BY-NC 3.0),,©2000 Joseph Dougherty/ecology.org,©2009 Barry Breckling (CC BY-NC-SA 3.0),©2008 Steve Matson
50,Chlorogalum pomeridianum,Soap Plant,Agavaceae,,Perennial,Summer,White,1-3 ft,SF Native ,Chaparral;Coastal scrub;Grassland/prairie;Woodland,Part shade;Sun,Clay;Loam;Sand,,Low,Buds/greens;Nectar,Bees;Butterflies;Insects,No,Backyard,NA,NA,Tough plant that is easy to grow. Flowers only open in evening or very overcast weather.,©2009 Neal Kramer,Oaktown;Native Here;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;,Beatrice F. Howitt © California Academy of Sciences,"© Br. Alfred Brousseau, Saint Mary's College",©2004 George W. Hartwell
51,Cirsium brevistylum,Indian Thistle,Asteraceae,,Perennial,Spring;Summer,Indigo,4-6 ft,SF Native ,Coastal scrub;Woodland,Part shade;Sun,Clay;Loam;Rock,,None,Buds/greens;Nectar,Bees;Butterflies;Insects,No,Backyard,NA,NA,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.","© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",J. E.(Jed) and Bonnie McClellan © California Academy of Sciences
52,Cirsium occidentale var. californicum,California Thistle,Asteraceae,,Perennial,Summer,Indigo,7-12 ft,CA Native,Coastal scrub;Dunes;Grassland/prairie;Woodland,Part shade;Sun,All,,None,Buds/greens;Nectar,Bees;Butterflies;Insects,No,Backyard;Roof,1,NA,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",©2011 Jean Pawek,,Beatrice F. Howitt © California Academy of Sciences,"© Br. Alfred Brousseau, Saint Mary's College",Gladys Lucille Smith © California Academy of Sciences
